Model,Disabled_Layers,Disabled_Percentage,Trial,Accuracy,Block_Type
Resnet-18,6,75.0,2,8.3984375,downsampling
Resnet-18,6,75.0,3,8.203125,downsampling
Resnet-18,6,75.0,4,10.9375,downsampling
Resnet-18,6,75.0,5,12.5,downsampling
Resnet-18,6,75.0,6,9.5703125,downsampling
Resnet-18,6,75.0,7,8.203125,downsampling
Resnet-18,6,75.0,8,10.9375,downsampling
Resnet-18,6,75.0,9,11.9140625,downsampling
Resnet-18,6,75.0,10,8.203125,downsampling
Resnet-18,6,75.0,11,9.1796875,downsampling
Resnet-18,6,75.0,12,8.203125,downsampling
Resnet-18,6,75.0,13,9.9609375,downsampling
Resnet-18,6,75.0,14,8.203125,downsampling
Resnet-18,6,75.0,15,8.203125,downsampling
Resnet-18,6,75.0,16,10.3515625,downsampling
Resnet-18,6,75.0,17,8.203125,downsampling
Resnet-18,6,75.0,18,11.9140625,downsampling
Resnet-18,6,75.0,19,14.6484375,downsampling
Resnet-18,6,75.0,20,8.203125,downsampling
Resnet-18,6,75.0,21,12.5,downsampling
Resnet-18,6,75.0,22,8.203125,downsampling
Resnet-18,6,75.0,23,13.28125,downsampling
Resnet-18,6,75.0,24,8.203125,downsampling
Resnet-18,6,75.0,25,12.5,downsampling
Resnet-18,6,75.0,26,9.9609375,downsampling
Resnet-18,6,75.0,27,12.6953125,downsampling
Resnet-18,6,75.0,28,12.6953125,downsampling
Resnet-18,6,75.0,29,9.375,downsampling
Resnet-18,6,75.0,30,10.9375,downsampling
Resnet-18,7,87.5,1,9.5703125,downsampling
Resnet-18,7,87.5,2,9.5703125,downsampling
Resnet-18,7,87.5,3,10.9375,downsampling
Resnet-18,7,87.5,4,7.2265625,downsampling
Resnet-18,7,87.5,5,8.203125,downsampling
Resnet-18,7,87.5,6,8.7890625,downsampling
Resnet-18,7,87.5,7,10.9375,downsampling
Resnet-18,7,87.5,8,8.203125,downsampling
Resnet-18,7,87.5,9,8.203125,downsampling
Resnet-18,7,87.5,10,8.203125,downsampling
Resnet-18,7,87.5,11,8.203125,downsampling
Resnet-18,7,87.5,12,8.203125,downsampling
Resnet-18,7,87.5,13,8.203125,downsampling
Resnet-18,7,87.5,14,8.203125,downsampling
Resnet-18,7,87.5,15,9.5703125,downsampling
Resnet-18,7,87.5,16,9.5703125,downsampling
Resnet-18,7,87.5,17,8.203125,downsampling
Resnet-18,7,87.5,18,8.203125,downsampling
Resnet-18,7,87.5,19,10.9375,downsampling
Resnet-18,7,87.5,20,9.5703125,downsampling
Resnet-18,7,87.5,21,9.5703125,downsampling
Resnet-18,7,87.5,22,10.9375,downsampling
Resnet-18,7,87.5,23,8.203125,downsampling
