Model,Disabled_Layers,Disabled_Percentage,Trial,Accuracy
VGG-16,8,61.5385,13,8.203125
VGG-16,8,61.5385,14,8.203125
VGG-16,8,61.5385,15,8.203125
VGG-16,8,61.5385,16,8.984375
VGG-16,8,61.5385,17,8.203125
VGG-16,8,61.5385,18,8.203125
VGG-16,8,61.5385,19,8.203125
VGG-16,8,61.5385,20,8.203125
VGG-16,8,61.5385,21,8.203125
VGG-16,8,61.5385,22,8.203125
VGG-16,8,61.5385,23,8.203125
VGG-16,8,61.5385,24,8.203125
VGG-16,8,61.5385,25,8.203125
VGG-16,8,61.5385,26,8.203125
VGG-16,8,61.5385,27,8.203125
VGG-16,8,61.5385,28,8.203125
VGG-16,8,61.5385,29,8.203125
VGG-16,8,61.5385,30,8.203125
VGG-16,9,69.2308,1,8.203125
VGG-16,9,69.2308,2,8.203125
VGG-16,9,69.2308,3,8.203125
VGG-16,9,69.2308,4,8.203125
VGG-16,9,69.2308,5,8.203125
VGG-16,9,69.2308,6,8.203125
VGG-16,9,69.2308,7,8.203125
VGG-16,9,69.2308,8,8.203125
VGG-16,9,69.2308,9,8.203125
VGG-16,9,69.2308,10,8.203125
VGG-16,9,69.2308,11,8.203125
VGG-16,9,69.2308,12,8.203125
VGG-16,9,69.2308,13,8.203125
VGG-16,9,69.2308,14,8.984375
VGG-16,9,69.2308,15,8.203125
VGG-16,9,69.2308,16,8.203125
VGG-16,9,69.2308,17,8.203125
VGG-16,9,69.2308,18,8.203125
VGG-16,9,69.2308,19,8.203125
VGG-16,9,69.2308,20,8.203125
VGG-16,9,69.2308,21,8.203125
VGG-16,9,69.2308,22,8.203125
VGG-16,9,69.2308,23,8.203125
VGG-16,9,69.2308,24,8.203125
VGG-16,9,69.2308,25,8.203125
VGG-16,9,69.2308,26,8.203125
VGG-16,9,69.2308,27,8.203125
VGG-16,9,69.2308,28,8.203125
VGG-16,9,69.2308,29,8.203125
VGG-16,9,69.2308,30,8.203125
VGG-16,10,76.9231,1,8.203125
VGG-16,10,76.9231,2,8.203125
VGG-16,10,76.9231,3,8.203125
VGG-16,10,76.9231,4,8.203125
VGG-16,10,76.9231,5,8.203125
VGG-16,10,76.9231,6,8.203125
VGG-16,10,76.9231,7,8.203125
VGG-16,10,76.9231,8,8.203125
VGG-16,10,76.9231,9,8.203125
VGG-16,10,76.9231,10,8.203125
VGG-16,10,76.9231,11,8.203125
VGG-16,10,76.9231,12,8.203125
VGG-16,10,76.9231,13,8.203125
VGG-16,10,76.9231,14,8.203125
VGG-16,10,76.9231,15,8.203125
VGG-16,10,76.9231,16,8.203125
VGG-16,10,76.9231,17,8.203125
VGG-16,10,76.9231,18,8.203125
VGG-16,10,76.9231,19,8.203125
VGG-16,10,76.9231,20,8.203125
VGG-16,10,76.9231,21,8.203125
VGG-16,10,76.9231,22,8.203125
VGG-16,10,76.9231,23,8.203125
VGG-16,10,76.9231,24,8.203125
VGG-16,10,76.9231,25,8.203125
